Ticket_ID,Date_Created,Date_Resolved,Category,Subcategory,Priority,Status,Assigned_Team,Resolution_Time_Hrs,Description,Escalated
987232,2023-11-07,2023-11-14,Network,Network ACL blocking,Medium,Pending,Network Team,4.59,User reported Network ACL blocking. Further investigation needed.,False
79955,2023-11-27,,Security,Suspicious third-party compromise,Critical,In Progress,Security Team,1.36,User reported Suspicious third-party compromise. Further investigation needed.,False
567131,2023-11-29,,Software,Mobile app not installing,Medium,In Progress,Application Support,9.35,User reported Mobile app not installing. Further investigation needed.,True
500892,2023-11-06,2023-11-10,Network,Switch port failure,Medium,Pending,Network Team,9.42,User reported Switch port failure. Further investigation needed.,False
55400,2023-11-13,2023-11-17,Hardware,Laptop screen burn-in,High,Pending,Desktop Support,1.85,User reported Laptop screen burn-in. Further investigation needed.,False
135050,2023-11-12,2023-11-19,Network,Network port scanning detected,Medium,Pending,Network Team,1.6,User reported Network port scanning detected. Further investigation needed.,False
733379,2023-11-17,2023-11-22,Software,Application deadlock,Medium,Resolved,Application Support,1.25,User reported Application deadlock. Further investigation needed.,True
732058,2023-11-24,2023-11-28,Software,Cloud sync failure,Critical,On Hold,Application Support,4.1,User reported Cloud sync failure. Further investigation needed.,False
51334,2023-11-08,2023-11-12,Software,Mobile app not installing,Medium,In Progress,Application Support,2.5,User reported Mobile app not installing. Further investigation needed.,True
731480,2023-11-03,,Security,Suspicious admin activity,Low,In Progress,Security Team,3.19,User reported Suspicious admin activity. Further investigation needed.,False
399759,2023-11-21,,Hardware,Touchpad not responding,Medium,Open,Desktop Support,1.7,User reported Touchpad not responding. Further investigation needed.,True
401398,2023-11-12,2023-11-17,Software,Browser crashing,Low,In Progress,Application Support,2.46,User reported Browser crashing. Further investigation needed.,False
855486,2023-11-01,2023-11-07,Security,Suspicious ARP spoofing,Critical,On Hold,Security Team,5.77,User reported Suspicious ARP spoofing. Further investigation needed.,False
858885,2023-11-08,2023-11-13,Software,Application crash on VM shutdown,Critical,Open,Application Support,6.74,User reported Application crash on VM shutdown. Further investigation needed.,False
503248,2023-11-05,2023-11-10,Software,Macro execution error,Low,Open,Application Support,6.29,User reported Macro execution error. Further investigation needed.,True
864742,2023-11-28,2023-12-04,Hardware,Laptop screen dim,Low,In Progress,Desktop Support,3.35,User reported Laptop screen dim. Further investigation needed.,False
35033,2023-11-26,2023-11-30,Hardware,Headset mic not working,Critical,Resolved,Desktop Support,5.47,User reported Headset mic not working. Further investigation needed.,False
995704,2023-11-28,2023-12-03,Hardware,Touchpad not responding,Low,Open,Desktop Support,4.2,User reported Touchpad not responding. Further investigation needed.,False
376762,2023-11-02,2023-11-03,Security,Suspicious login location,Low,On Hold,Security Team,3.73,User reported Suspicious login location. Further investigation needed.,True
811354,2023-11-07,2023-11-11,Network,Network compliance violation,Low,Open,Network Team,1.64,User reported Network compliance violation. Further investigation needed.,True
