Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,customer_query
1,32,Other,GoPro Hero,2021-03-22,Technical issue,product setup,"im having an issue with the product_purchased please assist

your billing zip code is 71701

we appreciate that you have requested a website address

please double check your email address ive tried troubleshooting steps mentioned in the user manual but the issue persists",Pending Customer Response,,Critical,Social media,2023-06-01 12:15:36,,,"product setup im having an issue with the product_purchased please assist

your billing zip code is 71701

we appreciate that you have requested a website address

please double check your email address ive tried troubleshooting steps mentioned in the user manual but the issue persists"
2,42,Female,LG Smart TV,2021-05-22,Technical issue,peripheral compatibility,"im having an issue with the product_purchased please assist

if you need to change an existing product

im having an issue with the product_purchased please assist

if the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Pending Customer Response,,Critical,Chat,2023-06-01 16:45:38,,,"peripheral compatibility im having an issue with the product_purchased please assist

if you need to change an existing product

im having an issue with the product_purchased please assist

if the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
3,48,Other,Dell XPS,2020-07-14,Technical issue,network problem,"im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond

183 i really im using the original charger that came with my product_purchased but its not charging properly",Closed,case maybe show recently my computer follow,Low,Social media,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0,"network problem im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond

183 i really im using the original charger that came with my product_purchased but its not charging properly"
4,27,Female,Microsoft Office,2020-11-13,Billing inquiry,account access,"im having an issue with the product_purchased please assist

if you have a problem youre interested in and id love to see this happen please check out the feedback ive already contacted customer support multiple times but the issue remains unresolved",Closed,try capital clearly never color toward story,Low,Social media,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0,"account access im having an issue with the product_purchased please assist

if you have a problem youre interested in and id love to see this happen please check out the feedback ive already contacted customer support multiple times but the issue remains unresolved"
5,67,Female,Autodesk AutoCAD,2020-02-04,Billing inquiry,data loss,"im having an issue with the product_purchased please assist


note the seller is not responsible for any damages arising out of the delivery of the battleground game please have the game in good condition and shipped to you ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer",Closed,west decision evidence bit,Low,Email,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0,"data loss im having an issue with the product_purchased please assist


note the seller is not responsible for any damages arising out of the delivery of the battleground game please have the game in good condition and shipped to you ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer"
6,53,Male,Microsoft Office,2020-07-28,Cancellation request,payment issue,im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond to remove the new product_purch ive checked for any available software updates for my product_purchased but there are none,Open,,Low,Social media,,,,payment issue im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond to remove the new product_purch ive checked for any available software updates for my product_purchased but there are none
7,24,Other,Microsoft Surface,2020-02-23,Product inquiry,refund request,"im unable to access my product_purchased account it keeps displaying an invalid credentials error even though im using the correct login information how can i regain access to my account

solution 1 im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps",Open,,Critical,Social media,,,,"refund request im unable to access my product_purchased account it keeps displaying an invalid credentials error even though im using the correct login information how can i regain access to my account

solution 1 im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps"
8,23,Male,Philips Hue Lights,2020-08-09,Refund request,battery life,"im having an issue with the product_purchased please assist thanks i will contact all my suppliers and confirm

please try and find out whether their inventory is currently stocked or any other reason i am ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Open,,Critical,Social media,,,,"battery life im having an issue with the product_purchased please assist thanks i will contact all my suppliers and confirm

please try and find out whether their inventory is currently stocked or any other reason i am ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
9,60,Other,Fitbit Versa Smartwatch,2020-07-16,Technical issue,installation support,"im having an issue with the product_purchased please assist thank you

product_purchased is not the exact type you might prefer they use the exact same method for different uses please help ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update",Pending Customer Response,,Low,Social media,2023-06-01 10:32:47,,,"installation support im having an issue with the product_purchased please assist thank you

product_purchased is not the exact type you might prefer they use the exact same method for different uses please help ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update"
10,27,Male,Dyson Vacuum Cleaner,2020-03-06,Refund request,payment issue,"my product_purchased is making strange noises and not functioning properly i suspect there might be a hardware issue can you please help me with this

 if we can please send a request to dav the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Pending Customer Response,,Critical,Phone,2023-06-01 09:25:48,,,"payment issue my product_purchased is making strange noises and not functioning properly i suspect there might be a hardware issue can you please help me with this

 if we can please send a request to dav the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
11,48,Male,Nintendo Switch,2021-01-19,Cancellation request,data loss,"im having an issue with the product_purchased please assist 18007990808

product search whats new in 2345 report feedback customer service is your best im using the original charger that came with my product_purchased but its not charging properly",Closed,measure tonight surface feel forward,High,Phone,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0,"data loss im having an issue with the product_purchased please assist 18007990808

product search whats new in 2345 report feedback customer service is your best im using the original charger that came with my product_purchased but its not charging properly"
12,51,Male,Microsoft Xbox Controller,2021-10-24,Product inquiry,software bug,"im having an issue with the product_purchased please assist

4 it is possible that we cannot find some type of text or a product name to identify someone like mr brown

5 on the ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem",Closed,measure there house management pick knowledge trade,High,Chat,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0,"software bug im having an issue with the product_purchased please assist

4 it is possible that we cannot find some type of text or a product name to identify someone like mr brown

5 on the ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem"
13,27,Other,Nintendo Switch Pro Controller,2021-05-26,Technical issue,hardware issue,"im having an issue with the product_purchased please assist

cqw why didnt i send him the invoice thanks a lot

l hes like the best customer ive met ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased",Pending Customer Response,,Low,Chat,2023-06-01 19:03:53,,,"hardware issue im having an issue with the product_purchased please assist

cqw why didnt i send him the invoice thanks a lot

l hes like the best customer ive met ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased"
14,65,Other,Nest Thermostat,2020-07-13,Technical issue,product setup,"ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue

i cant find the product_ip field of the im concerned about the security of my product_purchased and would like to ensure that my data is safe",Pending Customer Response,,Low,Chat,2023-06-01 20:34:54,,,"product setup ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue

i cant find the product_ip field of the im concerned about the security of my product_purchased and would like to ensure that my data is safe"
15,48,Female,Sony PlayStation,2020-02-29,Billing inquiry,product setup,"im having an issue with the product_purchased please assist

product name tpubask3e3kq0


join date oct 2007 posts 11532

quote ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update",Closed,officer moment world sing parent available,High,Chat,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0,"product setup im having an issue with the product_purchased please assist

product name tpubask3e3kq0


join date oct 2007 posts 11532

quote ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update"
16,18,Other,GoPro Action Camera,2021-06-24,Billing inquiry,product recommendation,"im having an issue with the product_purchased please assist


please note you might have already paid for this product which means spectators are not buying any of the products from the sale as their donations will go straight ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer",Pending Customer Response,,High,Social media,2023-06-01 15:09:57,,,"product recommendation im having an issue with the product_purchased please assist


please note you might have already paid for this product which means spectators are not buying any of the products from the sale as their donations will go straight ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer"
17,63,Other,Xbox,2021-10-13,Product inquiry,account access,"im having an issue with the product_purchased please assist

 acknowledgement thanks to dan for the tip when you purchase a new product from my store or from your local retailer they will also provide im concerned about the security of my product_purchased and would like to ensure that my data is safe",Closed,seek evidence book collection catch,Critical,Chat,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0,"account access im having an issue with the product_purchased please assist

 acknowledgement thanks to dan for the tip when you purchase a new product from my store or from your local retailer they will also provide im concerned about the security of my product_purchased and would like to ensure that my data is safe"
18,56,Female,Microsoft Xbox Controller,2020-09-07,Product inquiry,payment issue,"im having an issue with the product_purchased please assist thanks

 0  0  0  0

if this product is sold and you have not used any ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem",Pending Customer Response,,High,Chat,2023-06-01 21:05:01,,,"payment issue im having an issue with the product_purchased please assist thanks

 0  0  0  0

if this product is sold and you have not used any ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem"
19,19,Male,LG Washing Machine,2021-09-23,Product inquiry,peripheral compatibility,im having an issue with the product_purchased please assist i want to be an active member of our community on youtube the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly,Open,,High,Social media,,,,peripheral compatibility im having an issue with the product_purchased please assist i want to be an active member of our community on youtube the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly
20,39,Female,Canon EOS,2021-03-08,Refund request,software bug,"im having an issue with the product_purchased please assist

im having an issue with the product_purchased please assist customer reviewer my husband was able to take an order from apple ive checked for any available software updates for my product_purchased but there are none",Closed,wish mouth build resource though,Low,Chat,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0,"software bug im having an issue with the product_purchased please assist

im having an issue with the product_purchased please assist customer reviewer my husband was able to take an order from apple ive checked for any available software updates for my product_purchased but there are none"
21,28,Other,HP Pavilion,2021-05-31,Refund request,payment issue,"im having an issue with the product_purchased please assist

 name microsoft surface pro 

 version 1102 1102

 usage ive checked for any available software updates for my product_purchased but there are none",Pending Customer Response,,High,Chat,2023-06-01 05:08:05,,,"payment issue im having an issue with the product_purchased please assist

 name microsoft surface pro 

 version 1102 1102

 usage ive checked for any available software updates for my product_purchased but there are none"
22,66,Male,Fitbit Versa Smartwatch,2020-02-04,Cancellation request,installation support,"im having an issue with the product_purchased please assist

the email address should change to customerjulietrcom as there is a unique id number unique for each product

you ive tried different settings and configurations on my product_purchased but the issue persists",Pending Customer Response,,Critical,Social media,2023-05-31 23:57:07,,,"installation support im having an issue with the product_purchased please assist

the email address should change to customerjulietrcom as there is a unique id number unique for each product

you ive tried different settings and configurations on my product_purchased but the issue persists"
23,54,Female,Xbox,2020-02-11,Cancellation request,delivery problem,"im having an issue with the product_purchased please assist and if need be this time that could help

1321 update my version to 30 or more the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Open,,Medium,Social media,,,,"delivery problem im having an issue with the product_purchased please assist and if need be this time that could help

1321 update my version to 30 or more the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
24,63,Female,Nintendo Switch Pro Controller,2021-08-06,Technical issue,refund request,"im having an issue with the product_purchased please assist

ill take care of those ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Pending Customer Response,,Low,Social media,2023-06-01 09:06:09,,,"refund request im having an issue with the product_purchased please assist

ill take care of those ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
25,19,Male,Amazon Kindle,2021-05-25,Product inquiry,display issue,"im having an issue with the product_purchased please assist product_purchased does not represent the price which you received by the day immediately before the shipment date

in many cases this is the ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer",Open,,Critical,Email,,,,"display issue im having an issue with the product_purchased please assist product_purchased does not represent the price which you received by the day immediately before the shipment date

in many cases this is the ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer"
